G-Status,ID,IP1,IP2,Fit,Relax
C,h0000,0,0.2,12802.23784,36865.76412
C,h0001,0,0.22,12802.23784,36865.76412
C,h0002,0,0.24,12802.23784,36865.76412
C,h0003,0,0.26,12802.23784,36865.76412
C,h0004,0,0.28,12802.23784,36865.76412
C,h0005,0,0.3,12802.23784,36865.76412
C,h0006,0,0.32,12802.23784,36865.76412
C,h0007,0,0.34,12802.23784,36865.76412
C,h0008,0,0.36,12802.23784,36865.76412
C,h0009,0,0.38,12802.23784,36865.76412
C,h0010,0,0.4,12802.23784,36865.76412
C,h0011,500,0.2,12400.24246,17743.56546
C,h0012,500,0.22,11851.80425,14618.63201
C,h0013,500,0.24,10890.10259,10980.37204
C,h0014,500,0.26,9422.875495,7440.947307
C,h0015,500,0.28,7446.334541,4583.349476
C,h0016,500,0.3,5095.651421,2482.582467
C,h0017,500,0.32,2686.2383,1055.880777
C,h0018,500,0.34,741.553897,239.445548
C,h0019,500,0.36,7.254316,1.955168
C,h0020,500,0.38,1454.581726,332.164502
C,h0021,500,0.4,6277.35433,1229.974356
C,h0022,1000,0.2,12004.65957,12169.8069
C,h0023,1000,0.22,10938.02428,8287.910708
C,h0024,1000,0.24,9132.54196,5062.308821
C,h0025,1000,0.26,6560.355113,2683.203701
C,h0026,1000,0.28,3532.794819,1085.55426
C,h0027,1000,0.3,877.385203,206.719253
C,h0028,1000,0.32,90.043179,16.597484
C,h0029,1000,0.34,3443.811862,506.655274
C,h0030,1000,0.36,14050.24795,1680.057171
C,h0031,1000,0.38,35881.80513,3545.206558
C,h0032,1000,0.4,73770.08417,6113.786896
C,h0033,1500,0.2,11615.48916,8991.381158
C,h0034,1500,0.22,10060.89792,5502.938044
C,h0035,1500,0.24,7529.55595,2908.452947
C,h0036,1500,0.26,4214.676697,1166.686054
C,h0037,1500,0.28,1061.618676,214.956937
C,h0038,1500,0.3,147.439192,22.327258
C,h0039,1500,0.32,5013.652482,581.123749
C,h0040,1500,0.34,20909.01174,1896.063608
C,h0041,1500,0.36,54931.21875,3977.40122
C,h0042,1500,0.38,116083.908,6838.095583
