G-Status,ID,IP1,IP2,Fit,Relax
C,z0000,1000,0.2,12004.65957,12169.8069
C,z0001,1000,0.205,11798.00386,11168.11078
C,z0002,1000,0.21,11553.59091,10177.87401
C,z0003,1000,0.215,11267.97062,9212.829231
C,z0004,1000,0.22,10938.02428,8287.910708
C,z0005,1000,0.225,10561.10822,7401.275203
C,z0006,1000,0.23,10135.20847,6568.398692
C,z0007,1000,0.235,9659.104761,5788.358461
C,z0008,1000,0.24,9132.54196,5062.308821
C,z0009,1000,0.245,8556.406927,4389.844806
C,z0010,1050,0.2,11965.45396,11764.33203
C,z0011,1050,0.205,11748.86873,10760.59974
C,z0012,1050,0.21,11492.84004,9774.859949
C,z0013,1050,0.215,11193.82702,8819.737582
C,z0014,1050,0.22,10848.66223,7905.642229
C,z0015,1050,0.225,10454.70802,7039.610387
C,z0016,1050,0.23,10010.02499,6225.525831
C,z0017,1050,0.235,9513.550859,5465.465171
C,z0018,1050,0.24,8965.287501,4759.520522
C,z0019,1050,0.245,8366.494164,4107.283942
C,z0020,1100,0.2,11926.31249,11381.83413
C,z0021,1100,0.205,11699.83613,10378.95902
C,z0022,1100,0.21,11432.24931,9399.466467
C,z0023,1100,0.215,11119.92816,8455.663559
C,z0024,1100,0.22,10759.66672,7556.11439
C,z0025,1100,0.225,10348.84651,6706.988487
C,z0026,1100,0.23,9885.619419,5911.06276
C,z0027,1100,0.235,9369.10198,5169.809356
C,z0028,1100,0.24,8799.578788,4482.983557
C,z0029,1100,0.245,8178.712714,3849.777284
C,z0030,1150,0.2,11887.23513,11021.06458
C,z0031,1150,0.205,11650.90605,10021.10375
C,z0032,1150,0.21,11371.81873,9049.521805
C,z0033,1150,0.215,11046.27404,8117.32057
C,z0034,1150,0.22,10671.03774,7232.653004
C,z0035,1150,0.225,10243.52369,6400.017581
C,z0036,1150,0.23,9761.991749,5621.422731
C,z0037,1150,0.235,9225.758125,4897.929237
C,z0038,1150,0.24,8635.415822,4229.082156
C,z0039,1150,0.245,7993.062576,3613.948171
C,z0040,1200,0.2,11848.2219,10680.61805
C,z0041,1200,0.205,11602.07851,9684.96296
C,z0042,1200,0.21,11311.54828,8722.286473
C,z0043,1200,0.215,10972.86466,7802.510809
C,z0044,1200,0.22,10582.7753,6932.383994
C,z0045,1200,0.225,10138.73957,6115.543839
C,z0046,1200,0.23,9639.141982,5353.762125
C,z0047,1200,0.235,9083.519295,4647.321622
C,z0048,1200,0.24,8472.798601,3995.494708
C,z0049,1200,0.245,7809.543751,3397.294551
C,z0050,1250,0.2,11809.2728,10359.09358
C,z0051,1250,0.205,11553.3535,9369.063486
C,z0052,1250,0.21,11251.43797,8416.135034
C,z0053,1250,0.215,10899.70002,7508.766504
C,z0054,1250,0.22,10494.8794,6652.993121
C,z0055,1250,0.225,10034.49414,5851.518278
C,z0056,1250,0.23,9517.070119,5105.743433
C,z0057,1250,0.235,8942.385488,4415.414654
C,z0058,1250,0.24,8311.727127,3779.71893
C,z0059,1250,0.245,7628.156239,3197.480471
C,z0060,1300,0.2,11770.38782,10055.18152
C,z0061,1300,0.205,11504.73102,9071.91074
C,z0062,1300,0.21,11191.48781,8128.82069
C,z0063,1300,0.215,10826.78012,7234.120256
C,z0064,1300,0.22,10407.35003,6395.571128
C,z0065,1300,0.225,9930.787398,5605.617748
C,z0066,1300,0.23,9395.77616,4874.9665
C,z0067,1300,0.235,8802.356705,4199.980631
C,z0068,1300,0.24,8152.201399,3579.753828
C,z0069,1300,0.245,7448.900039,3012.828014
C,z0070,1350,0.2,11731.56697,9767.456495
C,z0071,1350,0.205,11456.21106,8791.584323
C,z0072,1350,0.21,11131.69779,7859.01678
C,z0073,1350,0.215,10754.10496,6976.664969
C,z0074,1350,0.22,10320.1872,6148.367348
C,z0075,1350,0.225,9827.619353,5376.019997
C,z0076,1350,0.23,9275.260105,4660.005876
C,z0077,1350,0.235,8663.432946,3999.663333
C,z0078,1350,0.24,7994.221418,3394.026304
C,z0079,1350,0.245,7271.775152,2841.478758
C,z0080,1400,0.2,11692.81024,9495.052128
C,z0081,1400,0.205,11407.79364,8527.162495
C,z0082,1400,0.21,11072.0679,7605.054842
C,z0083,1400,0.215,10681.67454,6734.977792
C,z0084,1400,0.22,10233.39091,5919.789606
C,z0085,1400,0.225,9724.990002,5161.22987
C,z0086,1400,0.23,9155.521953,4459.127901
C,z0087,1400,0.235,8525.614212,3812.748644
C,z0088,1400,0.24,7837.787182,3220.961873
C,z0089,1400,0.245,7096.781577,2682.413766
C,z0090,1450,0.2,11654.11764,9236.593802
C,z0091,1450,0.205,11359.47875,8291.933803
C,z0092,1450,0.21,11012.59816,7365.66412
C,z0093,1450,0.215,10609.48886,6507.488209
C,z0094,1450,0.22,10146.96115,5705.023341
C,z0095,1450,0.225,9622.899343,4959.546625
C,z0096,1450,0.23,9036.561706,4270.781352
C,z0097,1450,0.235,8388.900501,3637.946505
C,z0098,1450,0.24,7682.898693,3059.4967
C,z0099,1450,0.245,6923.919315,2534.222148
